total_frames,col_front,col_cross_far,col_cross_close,col_back,trf_go,trf_move,trf_slow_down
6644,0.016,0.026,0.040,0.014,0.007,0.000,0.018
9236,0.023,0.008,0.033,0.031,0.006,0.000,0.016
6227,0.143,0.009,0.020,0.013,0.008,0.001,0.023
8004,0.024,0.010,0.016,0.015,0.006,0.001,0.012
6661,0.088,0.025,0.048,0.021,0.004,0.000,0.013
6766,0.040,0.007,0.018,0.001,0.016,0.022,0.013
15482,0.019,0.002,0.029,0.033,0.002,0.002,0.004
11241,0.024,0.003,0.023,0.056,0.003,0.007,0.009
13077,0.021,0.004,0.013,0.025,0.003,0.001,0.005
14081,0.022,0.004,0.022,0.058,0.004,0.000,0.004
16301,0.013,0.003,0.052,0.045,0.001,0.341,0.004
