total_frames,col_front,col_cross_far,col_cross_close,col_back,trf_go,trf_move,trf_slow_down
6509,0.005,0.019,0.059,0.015,0.003,0.005,0.003
9614,0.004,0.011,0.041,0.034,0.004,0.000,0.005
5427,0.001,0.006,0.031,0.013,0.002,0.000,0.004
6608,0.012,0.003,0.020,0.004,0.004,0.000,0.002
6320,0.002,0.012,0.043,0.027,0.002,0.000,0.001
5716,0.001,0.013,0.034,0.018,0.008,0.009,0.003
16781,0.005,0.003,0.019,0.026,0.002,0.015,0.001
10311,0.008,0.009,0.035,0.048,0.015,0.023,0.002
12612,0.004,0.006,0.019,0.026,0.002,0.008,0.002
13133,0.007,0.006,0.017,0.022,0.005,0.000,0.004
7112,0.045,0.000,0.027,0.297,0.000,0.029,0.000
